name	field	rank	overall	h_index	cites_per_paper	academic_rep	employer_rep
Harvard University	accounting-finance	1	100.0	100.0	100.0	100.0	100.0
Massachusetts Institute of Technology (MIT)	accounting-finance	2	94.3	88.0	97.4	94.8	94.5
Stanford University	accounting-finance	3	93.2	80.0	92.0	96.5	92.4
The London School of Economics and Political Science (LSE)	accounting-finance	4	91.1	95.3	90.6	92.4	87.7
University of Oxford	accounting-finance	5	90.4	78.7	89.0	89.5	96.3
University of Pennsylvania	accounting-finance	6	88.8	93.6	97.8	91.6	79.4
University of Cambridge	accounting-finance	7	88.6	69.7	77.4	89.5	97.0
University of California, Berkeley (UCB)	accounting-finance	8	88.2	88.0	95.8	88.9	84.6
University of Chicago	accounting-finance	9	87.0	74.4	86.4	94.9	78.3
New York University (NYU)	accounting-finance	10	86.9	89.9	94.6	89.4	79.3
London Business School	accounting-finance	11	86.7	82.4	93.0	89.9	80.8
Columbia University	accounting-finance	12	85.6	84.7	89.5	87.8	80.9
National University of Singapore (NUS)	accounting-finance	13	85.0	81.2	84.6	85.3	85.8
Bocconi University	accounting-finance	14	84.5	89.9	95.4	82.6	82.2
Yale University	accounting-finance	15	84.4	74.4	85.2	84.9	86.5
University of California, Los Angeles (UCLA)	accounting-finance	16	84.1	72.9	88.1	85.3	84.6
The University of Manchester	accounting-finance	17	83.6	100.0	96.5	79.4	80.8
The University of Melbourne	accounting-finance	18	83.4	86.9	89.5	82.6	81.5
The University of New South Wales (UNSW Sydney)	accounting-finance	19	83.3	91.8	89.1	82.4	80.0
HEC Paris School of Management	accounting-finance	20	82.9	81.2	83.7	84.0	81.4
The University of Sydney	accounting-finance	21	81.5	91.8	89.2	79.3	79.1
The Hong Kong University of Science and Technology	accounting-finance	22	81.4	74.4	89.0	86.1	73.5
Tsinghua University	accounting-finance	23	81.1	83.6	91.4	77.5	82.8
Peking University	accounting-finance	24	81.0	77.3	86.1	79.7	82.7
Nanyang Technological University, Singapore (NTU)	accounting-finance	25	80.9	77.3	85.5	80.4	81.5
University of Michigan-Ann Arbor	accounting-finance	26	80.8	84.7	94.4	80.8	74.8
University of Toronto	accounting-finance	27	80.7	77.3	86.3	81.2	79.1
The University of Hong Kong	accounting-finance	28	80.1	82.4	90.9	79.5	76.7
Northwestern University	accounting-finance	=29	79.4	82.4	92.1	80.5	72.3
Princeton University	accounting-finance	=29	79.4	66.1	84.7	79.7	81.5
INSEAD	accounting-finance	31	78.9	62.1	67.6	82.4	82.4
Monash University	accounting-finance	32	78.4	84.7	88.5	75.6	77.7
Imperial College London	accounting-finance	33	78.2	67.9	77.7	76.3	85.1
Cornell University	accounting-finance	=34	77.9	82.4	88.2	75.6	76.9
Shanghai Jiao Tong University	accounting-finance	=34	77.9	85.8	89.0	73.1	79.6
Tilburg University	accounting-finance	=36	77.6	93.6	95.4	77.1	67.1
University of Texas at Austin	accounting-finance	=36	77.6	75.9	83.6	79.4	73.1
Erasmus University Rotterdam	accounting-finance	38	77.5	83.6	89.9	76.9	72.4
The Chinese University of Hong Kong (CUHK)	accounting-finance	39	77.3	78.7	91.3	78.7	69.8
The University of Edinburgh	accounting-finance	40	77.0	94.5	98.8	68.2	78.4
Duke University	accounting-finance	41	76.5	69.7	86.3	78.1	72.9
The Australian National University	accounting-finance	42	76.2	81.2	83.8	74.4	74.9
University of British Columbia	accounting-finance	43	75.5	64.1	68.2	77.6	78.3
The University of Warwick	accounting-finance	44	75.4	66.1	76.3	75.8	77.6
Copenhagen Business School	accounting-finance	=45	75.3	86.9	93.4	77.9	61.1
ETH Zurich - Swiss Federal Institute of Technology	accounting-finance	=45	75.3	69.7	82.8	71.1	81.8
University of Navarra	accounting-finance	=45	75.3	74.4	76.6	73.8	77.7
The University of Queensland	accounting-finance	48	75.0	85.8	87.4	71.8	72.6
