pubyear	intersectional in title	intersectional in abstract	bell curve in title	bell curve in abstract	second shift in title	second shift in abstract	bowling alone in title	bowling alone in abstract	clash of civilizations in title	clash of civilizations in abstract	creative class in title	creative class in abstract	overworked american in title	overworked american in abstract	culture of fear in title	culture of fear in abstract
1951	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1956	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1968	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1970	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1973	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1979	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1984	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1985	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1986	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1988	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
1990	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	2	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0
1992	5	7	0	0	0	2	0	0	0	0	0	0	8	0	0	0
1993	1	5	0	2	1	4	0	0	1	0	0	0	8	0	0	0
1994	1	1	5	0	0	5	0	0	1	0	0	0	1	0	0	0
1995	3	2	57	29	0	4	1	0	0	0	0	0	1	0	0	1
1996	0	1	38	4	0	7	2	0	3	0	0	0	0	0	1	0
1997	5	7	29	10	0	1	1	0	15	2	1	0	0	1	0	0
1998	1	8	14	10	1	3	1	0	15	6	0	1	1	0	3	0
1999	2	5	15	4	1	3	0	0	4	3	0	0	0	0	3	1
2000	3	9	2	4	1	4	13	1	5	1	0	0	0	0	3	1
2001	3	6	7	7	1	2	11	0	2	5	0	0	1	1	3	0
2002	3	9	2	4	0	5	4	2	6	9	0	0	0	0	1	0
2003	4	16	1	4	1	4	2	0	2	8	6	0	0	0	2	1
2004	3	12	1	4	1	2	3	1	5	10	3	2	0	1	2	1
2005	9	22	6	10	2	3	2	2	4	4	4	4	0	0	3	1
2006	18	35	1	5	0	3	1	3	9	7	6	3	0	0	2	4
2007	12	33	0	3	2	6	0	2	6	11	9	6	0	1	1	7
2008	43	61	3	5	1	8	1	4	6	15	13	22	0	1	8	4
2009	63	62	3	6	3	5	2	1	13	12	14	20	0	0	1	2
2010	59	109	0	6	1	6	3	1	13	9	9	32	0	0	3	3
2011	90	120	2	2	0	10	3	2	9	16	9	16	0	0	3	5
2012	92	138	1	9	0	8	1	2	6	8	6	17	1	0	0	2
2013	135	204	3	10	2	5	2	1	5	7	14	24	0	0	1	3
2014	105	191	2	6	1	4	2	2	6	10	22	22	3	0	0	0
2015	170	330	2	8	2	13	5	3	8	17	19	44	5	0	1	4
2016	198	385	0	7	1	10	0	0	3	12	11	28	3	0	0	7
2017	252	546	1	11	2	12	3	2	9	6	7	22	0	0	2	4
2018	311	708	0	11	2	6	0	2	3	10	7	39	0	0	3	10
